 objectid,filename,title,creator,date,description,subject,extent,instance-type,format,file-size,rights-holder
fan001,being-a-fangirl.pdf,Being a fangirl,"Kearns, Beatrice",06/07/22,Reflections on pop culture. ,Boy bands; social media and society,4 pages,text,PDF,9.4 KB,Beatrice Kearns
fan002,after.pdf,"Why ""After"" should be considered part of the history of the book canon","Kearns, Beatrice",3/27/2024,Analysis of fan-fiction's influence on traditional publishing,Boy bands; Fan fiction,2 pages,text,PDF,8.2 KB,Beatrice Kearns
fan003,essentials.jpg,Elements of y/n,"Kearns, Beatrice",3/21/24,Collage of self-insert tropes in fan fiction,Fan fiction; social media and society,1080px X1920px,mixed_materials,image/jpeg,3.1 MB,Beatrice Kearns
fan004,IMG_0384.jpg,Album art,"Kearns, Beatrice",10/24/15,Drawings inspired by 5 Seconds of Summer's album Sounds Good Feels Good,Boy bands,8in by 11in,graphic content,image/jpeg,4.8 MB,Beatrice Kearns
fan005,IMG_0383.jpg,Ode to live experiences,"Kearns, Beatrice",2/16/24,Scrapbook page focused on concerts,Boy bands,16in by 10in,mixed_materials,image/PNG,6 MB,Beatrice Kearns
fan006,IMG_0379.jpg,Homemade One Direction earrings,"Kearns, Beatrice",11/11/22,A pair of handmade One Direction earrings,Boy bands,2in by 2in,realia,image/jpeg,6 MB,Beatrice Kearns
fan007,self-image-and-y_n.pdf,Self-image and y/n,"Kearns, Beatrice",4/1/21,Reflection on self-insert characters and self esteem.,fan fiction,1 page,text,PDF,7.2 KB,Beatrice Kearns
fan008,IMG_0380.jpg,Tumblr laundry,"Kearns, Beatrice",3/22/24,Photograph of t-shirts.,fan fiction,2ft by 1.5 ft,graphic content,image/PNG,7.1 MB,Beatrice Kearns
fan009,IMG_0381.jpg,"Reflection on ""Tumblr"" photos","Kearns, Beatrice",2/17/24,Scrapbook on Tumblr-style photography,social media and society,8in by 10in,mixed_materials,PNG,4.2 MB,Beatrice Kearns
fan010,IMG_4956.jpg,One Direction movie,"Kearns, Beatrice",08/30/13,Group photograph. ,boy bands,,graphic content,image/jpeg,4.6 MB,Beatrice Kearns
fan011,IMG_4957.jpg,This is us collage,"Kearns, Beatrice",08/30/13,"Collage focused on ""This Is Us"" One Directon movie",boy bands ,,graphic content,image/jpeg,5.9 MB,Beatrice Kearns
fan012,IMG_4955.jpg,DIY t-shirt,"Kearns, Beatrice",11/2/12,Handmade One Direction t-shirt,boy bands,,graphic content,image/jpeg,6.1 MB,Beatrice Kearns
fan013,cringe.pdf,The end of cringe,"Kearns, Beatrice",3/15/24,Essay on embracing interests previously thought of as cringe,fan fiction; boy bands,,text,PDF,7.1 KB,Beatrice Kearns
fan014,IMG_0382.jpg,Elvis shrine,"Kearns, Beatrice",4/9/24,Photograph of young girl in front of Elvis shrine,music,,graphic content,image/PNG,4.4 MB,Beatrice Kearns
fan015,IMG_5020.jpg,Apartment decor,"Kearns, Beatrice",4/9/24,Current fandom decor,Boy bands; music,8in by 10in,mixed_materials,image/jpeg,5 MB,Beatrice Kearns
