objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
fan001,being-a-fangirl.pdf,,,Being a fangirl,"Kearns, Beatrice",06/07/22,Reflections on pop culture. ,Boy bands; social media and society,"Iowa City, Iowa",,,,,text,application/pdf,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
fan002,after.pdf,,,"Why ""After"" should be considered part of the history of the book canon","Kearns, Beatrice",3/27/2024,Analysis of fan-fiction's influence on traditional publishing,Boy bands; Fan fiction,"Iowa City, Iowa",,,,,text,application/pdf,,,
fan003,essentials.jpg,,,Elements of y/n,"Kearns, Beatrice",3/21/24,Collage of self-insert tropes in fan fiction,Fan fiction; social media and society,"Iowa City, Iowa",,,,,mixed_materials,image/jpeg,,,
fan004,IMG_0384.jpg,,,Album art,"Kearns, Beatrice",10/24/15,Drawings inspired by 5 Seconds of Summer's album Sounds Good Feels Good,Boy bands,"Iowa City, Iowa",,,,,graphic content,image/jpeg,,,
fan005,IMG_0383.jpg,,,Ode to live experiences,"Kearns, Beatrice",2/16/24,Scrapbook page focused on concerts,Boy bands,"Iowa City, Iowa",,,,,mixed_materials,image/png,,,
fan006,IMG_0379.jpg,,,Homemade One Direction earrings,"Kearns, Beatrice",11/11/22,A pair of handmade One Direction earrings,Boy bands,"Iowa City, Iowa",,,,,realia,image/jpeg,,,
fan007,self-image-and-y_n.pdf,,,Self-image and y/n,"Kearns, Beatrice",4/1/21,Reflection on self-insert characters and self esteem.,fan fiction,"Iowa City, Iowa",,,,,text,application/pdf,,,
fan008,IMG_0380.PNG,,,Tumblr laundry,"Kearns, Beatrice",3/22/24,Photograph of t-shirts.,fan fiction,"Iowa City, Iowa",,,,,graphic content,image/png,,,
fan009,IMG_0381.PNG,,,"Reflection on ""Tumblr"" photos","Kearns, Beatrice",2/17/24,Scrapbook on Tumblr-style photography,social media and society,"Iowa City, Iowa",,,,,mixed_materials,image/png,,,
fan010,IMG_4956.jpg,,,One Direction movie,"Kearns, Beatrice",08/30/13,Group photograph. ,boy bands,"Iowa City, Iowa",,,,,graphic content,image/jpeg,,,
fan011,IMG_4957.jpg,,,This is us collage,"Kearns, Beatrice",08/30/13,"Collage focused on ""This Is Us"" One Directon movie",boy bands ,"Iowa City, Iowa",,,,,graphic content,image/jpeg,,,
fan012,IMG_4955.jpg,,,DIY t-shirt,"Kearns, Beatrice",11/2/12,Handmade One Direction t-shirt,boy bands,"Iowa City, Iowa",,,,,graphic content,image/jpeg,,,
fan013,cringe.pdf,,,The end of cringe,"Kearns, Beatrice",3/15/24,Essay on embracing interests previously thought of as cringe,fan fiction; boy bands,"Iowa City, Iowa",,,,,text,application/pdf,,,
fan014,IMG_0382.PNG,,,Elvis shrine,"Kearns, Beatrice",4/9/24,Photograph of young girl in front of Elvis shrine,music,"Iowa City, Iowa",,,,,graphic content,image/png,,,
fan015,IMG_5020.jpg,,,Apartment decor,"Kearns, Beatrice",4/9/24,Current fandom decor,Boy bands; music,"Iowa City, Iowa",,,,,mixed_materials,image/jpeg,,,
